snapshot_from,snapshot_to,cid_from,cid_to
t01,t02,0,12
t01,t02,0,5
t01,t02,0,6
t01,t02,1,0
t01,t02,1,1
t01,t02,1,11
t01,t02,1,12
t01,t02,2,9
t01,t02,2,2
t01,t02,2,5
t01,t02,3,1
t01,t02,3,2
t01,t02,3,11
t01,t02,3,6
t01,t02,4,0
t01,t02,4,1
t01,t02,4,6
t01,t02,5,1
t01,t02,5,4
t01,t02,5,5
t01,t02,5,6
t01,t02,5,7
t01,t02,5,11
t01,t02,6,10
t01,t02,6,3
t01,t02,7,8
t01,t02,7,1
t01,t02,7,9
t01,t02,8,1
t01,t02,8,11
t01,t02,8,4
t01,t02,8,7
t01,t02,9,12
t01,t02,9,5
t01,t02,10,4
t01,t02,10,5
t01,t02,10,6
t01,t02,10,7
t01,t02,10,9
t01,t02,11,1
t01,t02,11,3
t01,t02,11,8
t01,t02,11,10
t01,t02,11,12
t01,t02,12,8
t01,t02,12,9
t01,t02,12,6
t01,t02,13,0
t01,t02,13,2
t01,t02,13,4
t01,t02,13,6
t01,t02,13,11
t01,t02,14,9
t01,t02,14,2
t02,t03,0,0
t02,t03,0,2
t02,t03,0,11
t02,t03,0,7
t02,t03,1,0
t02,t03,1,1
t02,t03,1,4
t02,t03,1,5
t02,t03,1,6
t02,t03,1,7
t02,t03,1,10
t02,t03,1,11
t02,t03,2,2
t02,t03,2,5
t02,t03,2,8
t02,t03,2,10
t02,t03,2,11
t02,t03,3,9
t02,t03,3,2
t02,t03,3,3
t02,t03,4,1
t02,t03,4,2
t02,t03,4,4
t02,t03,4,5
t02,t03,4,7
t02,t03,4,11
t02,t03,5,11
t02,t03,5,5
t02,t03,5,6
t02,t03,5,7
t02,t03,6,3
t02,t03,6,5
t02,t03,6,6
t02,t03,6,7
t02,t03,6,9
t02,t03,6,10
t02,t03,6,11
t02,t03,7,2
t02,t03,7,4
t02,t03,7,5
t02,t03,7,6
t02,t03,7,7
t02,t03,7,10
t02,t03,8,5
t02,t03,8,6
t02,t03,8,8
t02,t03,8,10
t02,t03,8,11
t02,t03,9,8
t02,t03,9,0
t02,t03,9,10
t02,t03,9,2
t02,t03,10,8
t02,t03,10,9
t02,t03,10,3
t02,t03,11,0
t02,t03,11,11
t02,t03,11,4
t02,t03,11,5
t02,t03,12,11
t02,t03,12,5
t02,t03,12,6
t03,t04,1,8
t03,t04,1,0
t03,t04,1,2
t03,t04,2,0
t03,t04,2,1
t03,t04,2,3
t03,t04,2,7
t03,t04,2,8
t03,t04,3,3
t03,t04,3,6
t03,t04,4,8
t03,t04,4,2
t03,t04,4,4
t03,t04,5,9
t03,t04,5,4
t03,t04,6,8
t03,t04,6,9
t03,t04,6,2
t03,t04,6,4
t03,t04,7,8
t03,t04,7,9
t03,t04,7,2
t03,t04,7,4
t03,t04,8,8
t03,t04,8,1
t03,t04,8,5
t03,t04,8,7
t03,t04,9,8
t03,t04,9,3
t03,t04,9,6
t03,t04,9,7
t03,t04,10,1
t03,t04,10,2
t03,t04,10,4
t03,t04,10,7
t03,t04,10,8
t03,t04,10,9
t03,t04,11,9
t03,t04,11,2
t03,t04,11,4
t03,t04,11,5
t03,t04,0,0
t03,t04,0,1
t03,t04,0,5
t03,t04,0,7
t03,t04,0,8
