snapshot,community_id,node_id
1,0,147
1,0,67
1,0,216
1,0,69
1,0,203
1,0,235
1,0,289
1,0,137
1,0,234
1,0,185
1,0,14
1,0,174
1,0,110
1,0,43
1,0,259
1,0,54
1,0,229
1,0,171
1,0,81
1,0,188
1,0,292
1,0,175
1,0,94
1,0,12
1,1,165
1,1,8
1,1,279
1,1,240
1,1,263
1,1,63
1,1,149
1,1,143
1,1,116
1,1,273
1,1,221
1,1,47
1,1,248
1,1,155
1,1,277
1,1,150
1,1,218
1,2,18
1,2,186
1,2,13
1,2,16
1,2,183
1,2,172
1,2,40
1,2,169
1,2,167
1,2,56
1,2,114
1,2,293
1,2,109
1,2,197
1,2,71
1,2,176
1,2,294
1,2,125
1,2,258
1,2,179
1,2,182
1,2,74
1,2,59
1,2,289
1,2,137
1,3,3
1,3,102
1,3,163
1,3,140
1,3,162
1,3,193
1,3,282
1,3,35
1,3,83
1,3,180
1,3,164
1,3,290
1,3,278
1,3,22
1,3,111
1,3,136
1,3,142
1,3,93
1,3,194
1,3,57
1,3,25
1,3,71
1,4,127
1,4,218
1,4,135
1,4,196
1,4,150
1,4,118
1,4,49
1,4,53
1,4,198
1,4,117
1,4,199
1,4,12
1,4,68
1,4,287
1,4,169
1,4,110
1,5,90
1,5,97
1,5,264
1,5,17
1,5,11
1,5,44
1,5,237
1,5,20
1,5,272
1,5,145
1,5,112
1,5,127
1,6,62
1,6,214
1,6,119
1,6,36
1,6,52
1,6,80
1,6,15
1,6,213
1,6,41
1,6,101
1,6,79
1,6,294
1,7,265
1,7,58
1,7,74
1,7,36
2,8,147
2,8,67
2,8,216
2,8,69
2,8,203
2,8,235
2,8,289
2,8,137
2,8,234
2,8,185
2,8,14
2,8,174
2,8,110
2,8,43
2,8,259
2,8,54
2,8,229
2,8,171
2,8,81
2,8,188
2,8,292
2,8,175
2,8,94
2,8,12
2,9,165
2,9,8
2,9,279
2,9,240
2,9,263
2,9,63
2,9,149
2,9,143
2,9,116
2,9,273
2,9,221
2,9,47
2,9,248
2,9,155
2,9,277
2,9,150
2,9,218
2,10,18
2,10,186
2,10,13
2,10,16
2,10,183
2,10,172
2,10,40
2,10,169
2,10,167
2,10,56
2,10,114
2,10,293
2,10,109
2,10,197
2,10,71
2,10,294
2,10,125
2,10,258
2,10,179
2,10,182
2,10,74
2,10,59
2,10,289
2,10,137
